system_id,replica,g_protein_family,g_protein_family_label,harmonized_observations,tm_core_rmsd_A_p95,galpha_interface_rmsd_A_p95,contact_retention_p05
Gi_7X9C,1,Gi,Gi/o,1001,1.8846198041873776,4.824274679773929,0.8285714285714286
Gi_7X9C,2,Gi,Gi/o,1001,1.845601919630501,4.140412771114481,0.7708333333333334
Gi_7X9C,3,Gi,Gi/o,1001,2.1193898805865503,6.314349209193447,0.9230769230769232
Gi_7X9Y,1,Gi,Gi/o,1001,3.0841751305111305,4.833948586878694,0.9722222222222222
Gi_7X9Y,2,Gi,Gi/o,1001,2.266248631764922,4.877293899621057,1.0
Gi_7X9Y,3,Gi,Gi/o,1001,3.314069169693996,5.42753671122067,0.967741935483871
Gi_7XA3,1,Gi,Gi/o,1001,1.837180530269915,3.443847975018125,0.8837209302325582
Gi_7XA3,2,Gi,Gi/o,1001,1.7233222850078147,3.678151678501655,0.9148936170212766
Gi_7XA3,3,Gi,Gi/o,1001,1.781200258343741,4.706373875906199,0.975
Gi_7XBX,1,Gi,Gi/o,1001,2.7130170872875343,5.231409153169506,0.8115942028985508
Gi_7XBX,2,Gi,Gi/o,1001,2.281184191278696,4.662944635600642,0.9016393442622952
Gi_7XBX,3,Gi,Gi/o,1001,2.088475347182507,3.272497535601301,0.984375
Gi_7XK2,1,Gi,Gi/o,1001,2.962808460947803,4.022857853735756,0.8235294117647058
Gi_7XK2,2,Gi,Gi/o,1001,3.259376854816359,5.591639307205213,0.8148148148148148
Gi_7XK2,3,Gi,Gi/o,1001,3.138271515541414,4.978624824647117,0.8695652173913043
Gi_7XK8,1,Gi,Gi/o,1001,3.148690248478974,8.286203398617952,0.8888888888888888
Gi_7XK8,2,Gi,Gi/o,1001,2.8454964836481524,7.066032607772443,0.8620689655172413
Gi_7XK8,3,Gi,Gi/o,1001,2.9194376849344845,5.565074891591098,0.8536585365853658
Gi_7XMS,1,Gi,Gi/o,1001,2.751922041613976,6.479803234400184,0.9393939393939394
Gi_7XMS,2,Gi,Gi/o,1001,2.4775313971542694,4.898072019749459,0.9714285714285714
Gi_7XMS,3,Gi,Gi/o,1001,2.412331966701431,5.218888269213076,0.9444444444444444
Gi_7XTA,1,Gi,Gi/o,1001,4.368989526116324,7.709390725822977,0.2923076923076923
Gi_7XTA,2,Gi,Gi/o,1001,4.538734626999482,10.029712549199528,0.6875
Gi_7XTA,3,Gi,Gi/o,1001,4.133421266869627,11.765123475511466,0.1969696969696969
Gi_7XXI,1,Gi,Gi/o,1001,2.661425795501436,9.107386187162446,0.6888888888888889
Gi_7XXI,2,Gi,Gi/o,1001,2.601657651613906,5.468503591967416,0.9534883720930232
Gi_7XXI,3,Gi,Gi/o,1001,2.154332386527838,7.684342196039915,0.8913043478260869
Gi_7Y12,1,Gi,Gi/o,1001,1.8184482363192809,3.9337753265996014,0.979591836734694
Gi_7Y12,2,Gi,Gi/o,1001,1.7735134213397643,4.041014497555488,0.9782608695652174
Gi_7Y12,3,Gi,Gi/o,1001,1.8393101683112785,3.9310496164215967,0.9583333333333334
Gi_7Y89,1,Gi,Gi/o,1001,3.083936996011973,3.750975011769124,0.8409090909090909
Gi_7Y89,2,Gi,Gi/o,1001,2.9824074142169006,5.360725812157025,0.8444444444444444
Gi_7Y89,3,Gi,Gi/o,1001,2.562650248188186,5.5774984470002655,0.84
Gi_7YK6,1,Gi,Gi/o,1001,2.466671121904085,4.367497757694594,0.9230769230769232
Gi_7YK6,2,Gi,Gi/o,1001,2.7039087668719266,6.677157819071235,0.9487179487179488
Gi_7YK6,3,Gi,Gi/o,1001,2.679769361940956,4.00224882763891,0.9743589743589745
Gi_7YK7,1,Gi,Gi/o,1001,1.8566985483944427,4.783883049811868,0.975609756097561
Gi_7YK7,2,Gi,Gi/o,1001,2.141503686904639,7.335253306749832,0.975
Gi_7YK7,3,Gi,Gi/o,1001,2.064142326071108,4.587985729624288,0.9714285714285714
Gi_7YKD,1,Gi,Gi/o,1001,3.0849415276295504,5.922056167991331,1.0
Gi_7YKD,2,Gi,Gi/o,1001,3.8598556108794178,5.383544284914196,0.8918918918918919
Gi_7YKD,3,Gi,Gi/o,1001,2.239949487798888,3.933611544507692,0.951219512195122
Gi_7YON,1,Gi,Gi/o,1001,2.2952013439566072,6.834378546724119,0.9772727272727272
Gi_7YON,2,Gi,Gi/o,1001,1.899665664206603,7.642031733498081,0.8888888888888888
Gi_7YON,3,Gi,Gi/o,1001,1.851960351548919,4.424407314232353,0.9230769230769232
Gi_7YU8,1,Gi,Gi/o,1001,3.17425720051153,4.52240380922623,0.8666666666666667
Gi_7YU8,2,Gi,Gi/o,1001,3.1825386334891315,6.0318787191387,0.734375
Gi_7YU8,3,Gi,Gi/o,1001,2.134016374180196,4.071266468977244,0.9298245614035088
Gi_8DZQ,1,Gi,Gi/o,1001,1.9607447281972423,3.392651880532564,0.9772727272727272
Gi_8DZQ,2,Gi,Gi/o,1001,1.7700407784184042,3.840894767913885,0.8863636363636364
Gi_8DZQ,3,Gi,Gi/o,1001,2.040065370492686,4.489003565306396,0.951219512195122
Gi_8EFO,1,Gi,Gi/o,1001,1.833185332111927,4.598294110128754,0.9565217391304348
Gi_8EFO,2,Gi,Gi/o,1001,2.7571072336835427,7.3436197969121855,0.7555555555555555
Gi_8EFO,3,Gi,Gi/o,1001,1.8393424594401904,7.8530391400118384,0.926829268292683
Gi_8F7S,1,Gi,Gi/o,1001,2.2891660556117364,5.15573973873024,0.8837209302325582
Gi_8F7S,2,Gi,Gi/o,1001,2.0534895120059224,3.954269017148377,0.9166666666666666
Gi_8F7S,3,Gi,Gi/o,1001,2.1809674483134187,3.975815491949292,0.9607843137254902
Gi_8HK2,1,Gi,Gi/o,1001,1.686088669779522,3.0735962205896263,1.0
Gi_8HK2,2,Gi,Gi/o,1001,1.89408036260552,4.557324660236255,1.0
Gi_8HK2,3,Gi,Gi/o,1001,2.14258498172544,6.444708364879354,0.9722222222222222
Gi_8HK5,1,Gi,Gi/o,1001,1.6655309130188307,4.055468259855282,1.0
Gi_8HK5,2,Gi,Gi/o,1001,1.7653951593645212,6.488984941975229,0.9696969696969696
Gi_8HK5,3,Gi,Gi/o,1001,1.9595804826502223,5.257962012558798,0.96875
Gi_8HQM,1,Gi,Gi/o,1001,3.15547992483414,5.003210874784381,0.9166666666666666
Gi_8HQM,2,Gi,Gi/o,1001,3.640917886733174,6.760410041857489,0.945945945945946
Gi_8HQM,3,Gi,Gi/o,1001,3.693044122766968,10.670607392984593,0.9487179487179488
Gi_8HS3,1,Gi,Gi/o,1001,3.175962270125486,6.064808475912935,0.9166666666666666
Gi_8HS3,2,Gi,Gi/o,1001,2.4122959341820533,7.350091901391833,0.8
Gi_8HS3,3,Gi,Gi/o,1001,4.183519004867017,6.807344178609701,0.7954545454545454
Gi_8IC0,1,Gi,Gi/o,1001,1.5572541316268216,5.627355896311773,0.9375
